Ignore,Scene,Start,End,Caption
No,0,00:31:24.212,00:31:26.889,
No,0,00:31:27.299,00:31:48.660,
No,0,00:31:49.070,00:31:54.082,
No,0,00:31:54.492,00:31:59.922,
No,0,00:32:00.332,00:32:03.383,
No,0,00:32:03.793,00:32:06.219,
No,0,00:32:06.629,00:32:09.723,
No,0,00:32:10.133,00:32:10.432,
No,0,00:32:10.842,00:32:13.143,
No,0,00:32:13.553,00:32:15.896,
No,0,00:32:16.306,00:32:22.903,
No,0,00:32:23.313,00:32:24.780,
No,0,00:32:25.190,00:32:29.660,
No,0,00:32:30.070,00:32:32.704,
No,0,00:32:33.114,00:32:34.289,
No,0,00:32:34.699,00:32:37.334,
No,0,00:32:37.744,00:32:43.215,
No,0,00:32:43.625,00:32:44.049,
No,0,00:32:44.459,00:32:48.178,
No,0,00:32:48.588,00:32:53.684,
No,0,00:32:54.094,00:32:57.562,
No,0,00:32:57.972,00:32:58.855,
No,0,00:32:59.265,00:33:00.524,
No,0,00:33:00.934,00:33:03.235,
No,0,00:33:03.645,00:33:05.028,
No,0,00:33:05.438,00:33:06.822,
No,0,00:33:07.232,00:33:11.451,
No,0,00:33:11.861,00:33:15.747,
No,0,00:33:16.157,00:33:18.750,
No,0,00:33:19.160,00:33:21.336,
No,0,00:33:21.746,00:33:22.879,
No,0,00:33:23.289,00:33:28.010,
No,0,00:33:28.420,00:33:28.969,
No,0,00:33:29.379,00:33:33.473,
No,0,00:33:33.883,00:33:34.599,
No,0,00:33:35.009,00:33:39.187,
No,0,00:33:39.597,00:33:39.855,
No,0,00:33:40.265,00:33:40.564,
No,0,00:33:40.974,00:33:41.231,
No,0,00:33:41.641,00:33:43.900,
No,0,00:33:44.310,00:34:09.717,
No,0,00:34:10.127,00:34:17.224,
No,0,00:34:17.634,00:34:28.487,
No,0,00:34:28.897,00:34:31.280,
No,0,00:34:31.690,00:34:32.365,
No,0,00:34:32.775,00:34:33.492,
No,0,00:34:33.902,00:34:34.826,
No,0,00:34:35.236,00:34:37.454,
No,0,00:34:37.864,00:34:48.507,
No,0,00:34:48.917,00:34:49.758,
No,0,00:34:50.168,00:35:03.814,
No,0,00:35:04.224,00:35:08.819,
No,0,00:35:09.229,00:35:15.784,
No,0,00:35:16.194,00:35:20.497,
No,0,00:35:20.907,00:35:43.395,
No,0,00:35:43.805,00:35:49.734,
No,0,00:35:50.144,00:36:21.558,
No,0,00:36:21.968,00:36:38.241,
No,0,00:36:38.651,00:36:47.792,
No,0,00:36:48.202,00:37:04.226,
No,0,00:37:04.636,00:37:07.187,
No,0,00:37:07.597,00:37:09.105,
No,0,00:37:09.515,00:37:12.359,
No,0,00:37:12.769,00:37:13.526,
No,0,00:37:13.936,00:37:24.496,
No,0,00:37:24.906,00:37:26.456,
No,0,00:37:26.866,00:37:36.091,
No,0,00:37:36.501,00:37:44.766,
No,0,00:37:45.176,00:37:48.228,
No,0,00:37:48.638,00:37:49.396,
No,0,00:37:49.806,00:37:53.483,
No,0,00:37:53.893,00:38:04.244,
No,0,00:38:04.654,00:38:10.959,
No,0,00:38:11.369,00:38:12.794,
No,0,00:38:13.204,00:38:19.050,
No,0,00:38:19.460,00:38:25.724,
No,0,00:38:26.134,00:38:28.226,
No,0,00:38:28.636,00:38:38.778,
No,0,00:38:39.188,00:38:39.654,
No,0,00:38:40.064,00:38:40.780,
No,0,00:38:41.190,00:38:42.449,
No,0,00:38:42.859,00:38:50.123,
No,0,00:38:50.533,00:38:52.500,
No,0,00:38:52.910,00:39:00.175,
No,0,00:39:00.585,00:39:15.315,
No,0,00:39:15.725,00:39:16.775,
No,0,00:39:17.185,00:39:22.989,
No,0,00:39:23.399,00:39:24.866,
No,0,00:39:25.276,00:39:27.827,
No,0,00:39:28.237,00:39:31.206,
No,0,00:39:31.616,00:39:33.500,
No,0,00:39:33.910,00:39:40.340,
No,0,00:39:40.750,00:39:53.311,
No,0,00:39:53.721,00:39:59.859,
No,0,00:40:00.269,00:40:04.906,
No,0,00:40:05.316,00:40:07.158,
No,0,00:40:07.568,00:40:09.035,
No,0,00:40:09.445,00:40:11.621,
No,0,00:40:12.031,00:40:13.373,
No,0,00:40:13.783,00:40:15.542,
No,0,00:40:15.952,00:40:17.794,
No,0,00:40:18.204,00:40:20.588,
No,0,00:40:20.998,00:40:34.269,
No,0,00:40:34.679,00:40:37.731,
No,0,00:40:38.141,00:40:40.483,
No,0,00:40:40.893,00:40:47.824,
No,0,00:40:48.234,00:40:53.496,
No,0,00:40:53.906,00:40:54.747,
No,0,00:40:55.157,00:40:57.292,
No,0,00:40:57.702,00:41:01.379,
No,0,00:41:01.789,00:41:05.800,
No,0,00:41:06.210,00:41:10.054,
No,0,00:41:10.464,00:41:12.807,
No,0,00:41:13.217,00:41:18.521,
No,0,00:41:18.931,00:41:21.024,
No,0,00:41:21.434,00:41:23.026,
No,0,00:41:23.436,00:41:24.360,
No,0,00:41:24.770,00:41:26.738,
No,0,00:41:27.148,00:41:28.698,
No,0,00:41:29.108,00:41:31.075,
No,0,00:41:31.485,00:41:34.787,
No,0,00:41:35.197,00:41:37.040,
No,0,00:41:37.450,00:41:40.710,
No,0,00:41:41.120,00:41:45.840,
No,0,00:41:46.250,00:41:47.967,
No,0,00:41:48.377,00:41:58.186,
No,0,00:41:58.596,00:41:59.479,
No,0,00:41:59.889,00:42:01.940,
No,0,00:42:02.350,00:42:12.992,
No,0,00:42:13.402,00:42:23.127,
No,0,00:42:23.537,00:42:25.755,
No,0,00:42:26.165,00:42:27.465,
No,0,00:42:27.875,00:42:29.425,
No,0,00:42:29.835,00:42:31.010,
No,0,00:42:31.420,00:42:34.847,
No,0,00:42:35.257,00:42:36.766,
No,0,00:42:37.176,00:42:45.149,
No,0,00:42:45.559,00:42:46.150,
No,0,00:42:46.560,00:42:48.027,
No,0,00:42:48.437,00:42:48.903,
No,0,00:42:49.313,00:42:52.615,
No,0,00:42:53.025,00:42:53.825,
No,0,00:42:54.235,00:42:55.827,
No,0,00:42:56.237,00:42:57.370,
No,0,00:42:57.780,00:42:58.413,
No,0,00:42:58.823,00:43:00.498,
No,0,00:43:00.908,00:43:01.666,
No,0,00:43:02.076,00:43:03.543,
No,0,00:43:03.953,00:43:06.921,
No,0,00:43:07.331,00:43:12.468,
No,0,00:43:12.878,00:43:19.058,
