Ignore,Scene,Start,End,Shot_Caption,Scene_Caption
No,0,01:01:57.502,01:01:58.135,,
No,0,01:01:58.545,01:02:00.220,,
No,0,01:02:00.630,01:02:01.471,,
No,0,01:02:01.881,01:02:16.111,,
No,0,01:02:16.521,01:02:18.071,,
No,0,01:02:18.481,01:02:19.197,,
No,0,01:02:19.607,01:02:25.203,,
No,0,01:02:25.613,01:02:26.997,,
No,0,01:02:27.407,01:02:29.666,,
No,0,01:02:30.076,01:02:31.668,,
No,0,01:02:32.078,01:02:35.714,,
No,0,01:02:36.124,01:02:43.889,,
No,0,01:02:44.299,01:02:49.144,,
No,0,01:02:49.554,01:02:55.275,,
No,0,01:02:55.685,01:02:58.278,,
No,0,01:02:58.688,01:02:59.654,,
No,0,01:03:00.064,01:03:02.240,,
No,0,01:03:02.650,01:03:06.411,,
No,0,01:03:06.821,01:03:09.790,,
No,0,01:03:10.200,01:03:12.083,,
No,0,01:03:12.493,01:03:42.280,,
No,0,01:03:42.690,01:03:44.282,,
No,0,01:03:44.692,01:03:47.285,,
No,0,01:03:47.695,01:03:50.622,,
No,0,01:03:51.032,01:04:00.340,,
No,0,01:04:00.750,01:04:02.592,,
No,0,01:04:03.002,01:04:05.262,,
No,0,01:04:05.672,01:04:08.181,,
No,0,01:04:08.591,01:04:21.820,,
No,0,01:04:22.230,01:04:37.043,,
No,0,01:04:37.453,01:04:44.175,,
No,0,01:04:44.585,01:04:45.969,,
No,0,01:04:46.379,01:04:47.053,,
No,0,01:04:47.463,01:04:49.723,,
No,0,01:04:50.133,01:04:55.103,,
No,0,01:04:55.513,01:04:59.441,,
No,0,01:04:59.851,01:05:05.947,,
No,0,01:05:06.357,01:05:07.949,,
No,0,01:05:08.359,01:05:10.660,,
No,0,01:05:11.070,01:05:15.332,,
No,0,01:05:15.742,01:05:28.929,,
No,0,01:05:29.339,01:05:31.473,,
No,0,01:05:31.883,01:05:36.728,,
No,0,01:05:37.138,01:05:38.647,,
